"libelle_site";"longitude_station";"latitude_station"
"L'Aveyron à la Chapelle-sur-Aveyron et à Montbouy";"2.870861880797213";"47.86277957370578"
"L'Aveyron à la Chapelle-sur-Aveyron et à Montbouy";"2.8362474075362867";"47.87672212813478"
"L'Ouanne à Gy-les-Nonains";"2.846246907096258";"47.948399543255455"
"Le Loing à Châlette-sur-Loing [Gué de Lancy]";"2.7321999284112213";"48.035505299447145"
"La Cléry à Ferrières-en-Gâtinais";"2.7833822514783697";"48.11232462045354"
"L'Essonne à la Ferté-Alais et à Guigneville-sur-Essonne";"2.3475969299057335";"48.464362338549634"
"L'Essonne à la Ferté-Alais et à Guigneville-sur-Essonne";"2.3453173465107677";"48.480111520779346"
"La Juine à Saclas";"2.1258122783674205";"48.361872313904286"
"L'Essonne à Ballancourt-sur-Essonne";"2.3736659832984";"48.53794761947738"
"L'Essonne à Ballancourt-sur-Essonne";"2.3736659832984";"48.53794761947738"
"L'Orge à Saint-Chéron et à Sermaise";"2.079405237248444";"48.538705274542195"
"L'Orge à Saint-Chéron et à Sermaise";"2.114399949571182";"48.54497152394226"
"La Rémarde à Saint-Cyr-sous-Dourdan";"2.032985888230807";"48.56918479914283"
"L'Orge à Épinay-sur-Orge";"2.318862060825542";"48.66581437920489"
"L'Orge à Épinay-sur-Orge";"2.318862060825542";"48.66581437920489"
"L'Yvette à Villebon-sur-Yvette";"2.2339599072744867";"48.70117104337179"
"L'Orge à Morsang-sur-Orge";"2.3424101987106187";"48.667889528251656"
"L'Orge à Morsang-sur-Orge";"2.3424101987106187";"48.667889528251656"
"L'Yerres à Boussy-Saint-Antoine";"2.527184887366134";"48.68688104519509"
"L'Yerres à Boussy-Saint-Antoine";"2.527184887366134";"48.68688104519509"
"La Guyonne à Mareil-le-Guyon";"1.8499787932799852";"48.79137472510913"
"Le ruisseau du Lieutel à Neauphle-le-Vieux";"1.8606802120916888";"48.81312718840673"
"La Mauldre à Beynes";"1.8764343683535123";"48.856242035680935"
"La Mauldre à Beynes";"1.871658288748925";"48.86656727697996"
"La Mauldre à Beynes";"1.871658288748925";"48.86656727697996"
"Le ru de Gally à Thiverval-Grignon";"1.9132685984371833";"48.85923548251266"
"La Mauldre à Aulnay-sur-Mauldre";"1.8420471095630349";"48.928530824923605"
"La Mauldre à Aulnay-sur-Mauldre";"1.8372331423965822";"48.93689318730509"
"Le Puiseaux à Saint-Hilaire-sur-Puiseaux";"2.700892099620464";"47.92229085294891"
"La Bezonde à Pannes";"2.675656766260465";"48.00288544899919"
"Le Fusain à Courtempierre";"2.6371454301254125";"48.11054350654736"
"Le Fusain à Courtempierre";"2.6371454301254125";"48.11054350654736"
"L'Eure à Saint-Luperce";"1.2911926548135038";"48.4491588174238"
"L'Eure à Lèves";"1.4837933224994202";"48.46726995012251"
"La Voise à Ymeray";"1.7100407326588203";"48.5091264025062"
"La Drouette à Saint-Martin-de-Nigelles";"1.5908450320997611";"48.615420599284036"
"L'Eure à Charpont";"1.4421839413328292";"48.70085268423738"
"La Blaise à Aunay-sous-Crécy";"1.3049622064562416";"48.67295426926625"
"L'Eure à Montreuil";"1.3796487223244014";"48.77678274043829"
"L'Eure à Montreuil";"1.3798912354796424";"48.776718415836314"
"La Loire à Saint-Martin-sur-Ocre et à Gien";"2.6318001138145757";"47.6836506368756"
"La Loire à Saint-Martin-sur-Ocre et à Gien";"2.640696773270287";"47.67680164551518"
"La Loire à Saint-Martin-sur-Ocre et à Gien";"2.6319407950274543";"47.68257997696998"
"La Loire à Saint-Martin-sur-Ocre et à Gien";"2.6415730927249004";"47.67680739462483"
"La Notreure à Autry-le-Châtel";"2.5897194209914787";"47.60405808627311"
"La Loire à Orléans";"1.904522680498539";"47.89796478005583"
"La Loire à Orléans";"1.9257174451490187";"47.89936786572204"
"La Dhuy à Sandillon";"2.018526029151154";"47.82118581482579"
"La Mauve de Détourbe à Meung-sur-Loire";"1.6946132202091617";"47.82022283944859"
"Le Lien à Tavers";"1.6149747317744283";"47.75489327738384"
"L'Ardoux à Lailly-en-Val";"1.6557547266917396";"47.747510064518245"
"La Loire à Blois";"1.3351479476905552";"47.584957074484784"
"Le Beuvron à Montrieux-en-Sologne";"1.7075563195351902";"47.529619621778245"
"Le Beuvron à Cellettes";"1.4205335533818098";"47.53251230049203"
"Le Beuvron à Cellettes";"1.4205335533818098";"47.53251230049203"
"Le Beuvron à Cellettes";"1.420658052596395";"47.532421511353725"
"Le Cosson à la Ferté-Saint-Aubin";"1.9285054676498474";"47.72552548483867"
"Le Cosson à Chailles";"1.309387151532557";"47.54368434830269"
"La Loire à Onzain";"1.1903353666363765";"47.48557796122158"
"La Cisse à Coulanges";"1.2354261733673957";"47.546559109558785"
"La Cisse à Coulanges";"1.2354261733673957";"47.546559109558785"
"La Cisse à Coulanges";"1.2353502094320912";"47.54684607653339"
"Le Cher à Selles-sur-Cher";"1.5349128351970882";"47.27341642102555"
"Le Cher à Selles-sur-Cher";"1.5579393942382125";"47.27807188411355"
"La Sauldre à Salbris";"2.0321858209236634";"47.42380190651473"
"La Rère à Theillay";"2.0566464894307748";"47.34546313342823"
"La Sauldre à Pruniers-en-Sologne";"1.6715476666455982";"47.320917288665974"
"Le Cher à Châtillon-sur-Cher";"1.4881429107507063";"47.27025011995752"
"Le Fouzon à Meusnes";"1.4846260649727132";"47.26032663966735"
"Le Fouzon à Meusnes";"1.5129061928749965";"47.252120753883474"
"La Cloche à Margon";"0.8386383101044022";"48.33480411528103"
