shom_id;name;longitude;latitude;state;reseau;alertCustom;delai_alerte
659;NUMBO_NOUMEA;166.416218;-22.241966;OK;RONIM;false;06:00
334;OUINNE;166.68327646;-21.9828778;OK;;false;06:00
311;OUISTREHAM;-0.24903;49.27936;OK;RONIM;false;06:00
380;OUVEA;166.561867;-20.549816;OK;;false;06:00
6095;PAIMBOEUF;-2.000417;47.286583;OK;;false;06:00
383;PAPEETE;-149.572724;-17.533081;ASYNC;;false;06:00
6385;PAPEETE_UHSLC;-149.572717;-17.533117;OK;;false;06:00
171;PARIACABO;-52.668683;5.151667;ASYNC;;false;06:00
192;PAUILLAC;-0.744167;45.199667;OLD;;false;06:00
779;PAUILLAC_TROMPELOUP;-0.746028;45.218056;OK;;false;06:00
125;POINTE-A-PITRE;-61.531454;16.224397;OK;RONIM;false;06:00
110;POINTE_DES_GALETS;55.285115;-20.934891;OK;RONIM;false;06:00
49;POINTE_DES_ROCHES;-52.6273;5.156783;ASYNC;;false;06:00
6273;PONT-BLANC_BAYONNE;-1.47314831538117;43.4818339452436;ASYNC;;false;06:00
6269;PONT_DU_BRAULT;-1.082581;46.316842;ASYNC;;false;06:00
6344;PONT_SEUDRE;-1.138743;45.799172;OK;;false;06:00
6306;PORQUEROLLES;6.20152;43.0026;ASYNC;;false;06:00
15;PORT-BLOC;-1.061555;45.56848;OK;RONIM;false;06:00
297;PORT_BLOC_GPM;-1.06148333;45.56843333;OK;;false;06:00
804;PORT-CAMARGUE;4.126403;43.520318;OK;;false;07:00
5154;PORT_CROS;6.38193;43.0098;ASYNC;;false;06:00
6328;PORT_DE_CARRO;5.04202;43.3297;ASYNC;;false;06:00
6338;PORT_DE_LA_REDONNE;5.21834;43.3315;ASYNC;;false;06:00
859;PORT_DE_SAINT-ELME;5.8994;43.0759;ASYNC;;false;06:00
847;PORT_FERREOL;6.717606;43.359072;OK;RONIM;false;06:00
803;PORT-LA-NOUVELLE;3.0640973709;43.0147054985;KO;RONIM;false;06:00
71;PORT-TUDY;-3.445852;47.644274;OK;RONIM;false;06:00
75;PORT-VENDRES;3.10745;42.519922;OK;RONIM;false;06:00
6272;QUAI_DE_LESSEPS_BAYONNE;-1.47941374394149;43.4975833678883;ASYNC;;false;06:00
78;RANGIROA;-147.706021;-14.945817;ASYNC;;false;06:00
150;RICHARD;-0.92305;45.453667;OK;;false;06:00
43;RIKITEA;-134.9689;-23.117767;ASYNC;REFMAR;false;06:00
2969;RIKITEA_UHSLC;-134.966628;-23.122189;ASYNC;;false;06:00
118;ROCHEFORT;-0.953483;45.946335;ASYNC;;false;06:00
54;ROSCOFF;-3.965679;48.718426;OK;RONIM;false;06:00
308;ROYAN;-1.027811;45.620576;OK;;false;08:00
832;SAINTE-MARIE;55.536904;-20.892808;OK;RONIM;false;06:00
36;SAINT-GILDAS;-2.24635;47.140383;OLD;;false;06:00
635;SAINT-GILLES-CROIX-DE-VIE;-1.943313;46.696299;OK;;false;06:00
95;SAINT-JEAN-DE-LUZ_SOCOA;-1.68162;43.39524;OK;RONIM;false;06:00
5219;SAINT_LOUIS_MOURILLON;5.937;43.1059;ASYNC;;false;06:00
410;SAINT-MALO;-2.028103;48.640812;OK;RONIM;false;06:00
159;SAINT_MARTIN;-63.085434;18.08333;KO;;false;06:00
37;SAINT-NAZAIRE;-2.20155;47.266862;OK;RONIM;false;06:00
6283;SAINT-NAZAIRE_GPM;-2.20155;47.266862;HIDDEN;;false;06:00
115;SAINT-PIERRE-ET-MIQUELON;-56.16830556;46.77883333;OK;RONIM;false;06:00
506;SAINT-QUAY-PORTRIEUX;-2.8180556;48.6475;OK;RONIM;false;06:00
35;SAINT-SERVAN;-2.0305556;48.6338889;OLD;;false;06:00
250;SETE;3.699105;43.397633;OK;RONIM;false;06:00
710;SOLENZARA;9.40383;41.856856;OK;RONIM;false;06:00
5253;TAMARIS;5.90112;43.091;ASYNC;;false;06:00
46;THIO;166.241528;-21.613806;OK;;false;06:00
68;TOULON;5.91306;43.11722;OK;RONIM;false;06:00
113;TUBUAI;-149.475536;-23.341768;ASYNC;;false;06:00
262;UA_POU;-140.04647;-9.35789;OK;;false;06:00
6275;URT;-1.29951789737017;43.5025287287403;ASYNC;;false;06:00
317;VAIRAO;-149.295;-17.8059;OK;;false;06:00
6138;VERGEROUX;-0.98333333;45.95;HIDDEN;;false;06:00
6274;VILLEFRANQUE;-1.46023970331937;43.4379773516882;ASYNC;;false;06:00
