"code_bss";"nom_commune";"x";"y";"nb_mesures_piezo";"libelle_pe";"date_maj"
"03276X0057/P";"Saint-Lyé-la-Forêt";"1.96795604447059";"48.0643023985608";"1624";"Les Bordes Givry";"Fri Jan 24 16:44:49 CET 2020"
"03624X0008/P";"Coinces";"1.71702053892453";"48.0165736565088";"500";"Roumilly";"Fri Jan 24 16:44:49 CET 2020"
"02928X1008/P";"Charmont-en-Beauce";"2.0913560962608";"48.2460982493477";"1671";"Gironville";"Fri Jan 24 16:44:49 CET 2020"
"03283X0018/P";"Aulnay-la-Rivière";"2.35104424617548";"48.2103969862588";"1731";"ECHAINVILLIERS";"Fri Jan 24 16:44:49 CET 2020"
"03638X0018/P";"Donnery";"2.06677271127363";"47.9003661006284";"1379";"Oussance-Genon";"Tue Jan 28 19:02:38 CET 2020"
"02558X0018/P";"Auneau-Bleury-Saint-Symphorien";"1.77592215044878";"48.4871392769907";"546";"Boigasson";"Fri Jan 24 16:44:49 CET 2020"
"02936X1018/P";"Césarville-Dossainville";"2.29583237881942";"48.2754931118575";"13755";"BLÉVILLE";"Wed Sep 29 20:47:52 CEST 2021"
"03263X0028/P";"Courbehaye";"1.63584079154215";"48.1537220936918";"1680";"Ormoy";"Fri Jan 24 16:44:49 CET 2020"
"03628X0038/P";"Chaingy";"1.78537438805893";"47.8888539409816";"1709";"La Groue";"Fri Jan 24 16:44:49 CET 2020"
"04291X0009/P";"Mer";"1.50475339286025";"47.6994398586759";"397";"mer";"Fri Jan 24 16:44:49 CET 2020"
"03276X0009/P";"Ruan";"1.92346753398049";"48.0975178833194";"18923";"Villechat";"Wed Sep 29 20:44:37 CEST 2021"
"03281X0019/P";"Pithiviers-le-Vieil";"2.20406156237531";"48.1871197348454";"13267";"ORMES";"Wed Sep 29 20:48:03 CEST 2021"
"02935X1019/P";"Sermaises";"2.20276858810778";"48.2937197468998";"1741";"Gare";"Fri Jan 24 16:44:49 CET 2020"
"03282X0029/P";"Yèvre-la-Ville";"2.33476827548698";"48.1594131771394";"1475";"Yevres le Chatel";"Fri Jan 24 16:44:49 CET 2020"
"03965X0029/P";"Villeromain";"1.15143387367175";"47.7157614090317";"18568";"l'Aumône";"Wed Sep 29 20:24:56 CEST 2021"
"03963X0039/P";"Oucques La Nouvelle";"1.31349688236297";"47.7991488288217";"549";"Epuiseau";"Fri Jan 24 16:44:49 CET 2020"
"03973X0049/P";"Le Bardon";"1.65255001493239";"47.8461959536224";"1166";"Le Meurgier";"Fri Jan 24 16:44:49 CET 2020"
"02921X0001/FAEP";"Sainville";"1.8799094431933954";"48.41535935190601";"17142";"ANCIEN CHÂTEAU D'EAU";"Wed Mar 15 12:00:02 CET 2023"
"04604X0001/FAEP";"Millançay";"1.7726979776589695";"47.44695467572067";"17428";"Captage de";"Wed Sep 29 20:46:29 CEST 2021"
"03975X0002/FAEP";"Séris";"1.5019877035378157";"47.75687876652664";"15989";"Château d'eau";"Wed Sep 29 20:24:37 CEST 2021"
"04293X0003/FAEP";"Crouy-sur-Cosson";"1.6067680786527598";"47.65061129212335";"17301";"Captage de";"Wed Sep 29 20:46:05 CEST 2021"
"03263X0004/FAEP";"Éole-en-Beauce";"1.702411468394293";"48.216560229275224";"18270";"Château d'eau";"Wed Sep 29 20:47:05 CEST 2021"
"02936X2005/PFAEP";"Le Malesherbois";"2.405273331278943";"48.29635033251645";"18325";"Grandvilliers";"Wed Sep 29 20:45:02 CEST 2021"
"03272X0006/PZ";"Trancrainville";"1.88936200279146";"48.2389975626558";"19221";"Le Muid de la Roue";"Wed Sep 29 20:46:53 CEST 2021"
"03622X0027/PZ";"Épieds-en-Beauce";"1.5760217969529";"47.9882235156858";"18661";"Poiseaux";"Wed Sep 29 20:44:11 CEST 2021"
